DATA TO BE ENTERED INTO THE TABLES,

SUPPLIER
ID,NAME,PHONE_NUMBER,ADDRESS,
1,KAFETOS COFFEE,+14075698878,GUATEMALA ,
2,GOLDEN BEAN TRADE,+5535988761894,BRAZIL,
3,PORT OF MOKHA,+9671234567,YEMEN,
4,KERCHANSHE TRADING PLC,+251113716370,ETHIOPIA,
5,MERDEKA COFFEE,+622187962386 ,INDONESIA,
6,PREMIUM COLOMBIAN COFFEE,+5715087495,COLOMBIA,
7,KYAGALANYI COFFEE LTD,+256312265251,UGANDA,
8,MEFRAZ,+96612345678,SAUDI ARABIA,
9,RELIANCE LTD,+67512345678,PAPUA NEW GUINEA,
10,MY ROASTING COMPANY,+14790000000,USA,
,,,,
,,,,
,,,,

ITEM
ID,NAME,PRICE_PER_LB,ROASTING,
1,ANTIGUA,24.4,M,
2,HAMBELA KIRITE,23,M,
3,KHAWLANI,40,L,
4,MOGIANA ,25,M,
5,ALWADI,32,L,
6,VOLCANICA SUPREMO,17.99,D,
7,PNG,21.95,M,
8,SUMATRA GAYO,12.5,D,
9,ARABICA,19.99,D,
10,GENERAL MERCHANDISE,20,,
11,SIDAMO,23,M,
12,GHIMBI,20,M,
13,ALDURRAR,25,M,
,,,,
,,,,

EMPLOYEE
ID,NAME,OCCUPATION,PHONE NUMBER,ADDRESS
1,ALYSSA,OWNER,479-123-4567,FAYETTEVILLE
2,ISAIAH,MANAGER,479-456-1237,FAYETTEVILLE
3,JACK,CHIEF ROASTER,479-000-0000,FAYETTEVILLE
4,EMILY,SALES,479-111-1111,ROGERS
5,VALERIA,COFFEE TASTER,479-222-2222,ROGERS
6,TOM,BARISTA,662-333-3333,TUPELO
7,DANIELA,BARISTA,214-000-0000,DALLAS
8,STEPHANIE,BARISTA,479-555-5555,FAYETTEVILLE
9,KIARA,MARKETING,479-666-6666,ELKINS
10,JAMAL,SALES,479-777-7777,FAYETTEVILLE
,,,,
,,,,
SALES
TRANS_ID,ITEM_ID,DISCOUNT,PURCHASE_DATE,EMPLOYEE_ID
1001,2,0,2/1/21,10
1002,3,10,2/5/21,4
1003,6,15,2/7/21,4
1004,7,0,2/12/21,10
1005,2,0,2/12/21,10
1006,1,10,2/12/21,10
1007,4,10,2/18/21,4
1008,8,20,2/20/21,4
1009,5,10,2/22/21,4
1010,9,20,2/25/21,10
1011,10,10,2/28/21,4
1012,1,10,2/28/21,10
1013,1,10,2/28/21,10
1014,1,10,2/28/21,4
,,,,
,,,,
INVENTORY_MGMT
ITEM_ID,SUPPLIER_ID,TOTAL_ITEM_SALES,TOTAL_AVAILABLE,
1,1,20,10,
2,4,29,35,
3,8,33,76,
4,2,44,19,
5,3,25,44,
6,6,18,14,
7,9,34,45,
8,5,27,36,
9,7,29,18,
10,10,18,29,
11,4,52,17,
12,4,10,49,
13,3,21,33,
